District,Mandal,Date,Rainfall (mm),humidity_min (%),Humidity_max (%)
Adilabad,Bheempoor,2019-07-01,3.5,74.2,94.6
Adilabad,Bheempoor,2019-07-02,0.0,68.2,91.8
Adilabad,Bheempoor,2019-07-03,40.5,67.2,95.3
Adilabad,Bheempoor,2019-07-04,20.0,66.6,96.3
Adilabad,Bheempoor,2019-07-05,1.0,57.9,92.5
Adilabad,Bheempoor,2019-07-06,8.5,55.9,91.2
Adilabad,Bheempoor,2019-07-07,1.8,65.6,92.1
Adilabad,Bheempoor,2019-07-08,0.0,64.6,87.6
Adilabad,Bheempoor,2019-07-09,6.8,59.3,94.5
Adilabad,Bheempoor,2019-07-10,16.3,65.4,96.6
Adilabad,Bheempoor,2019-07-11,0.0,54.5,81.6
Adilabad,Bheempoor,2019-07-12,8.8,67.8,91.9
Adilabad,Bheempoor,2019-07-13,0.0,54.8,80.4
Adilabad,Bheempoor,2019-07-14,3.5,45.5,94.6
Adilabad,Bheempoor,2019-07-15,0.8,48.2,93.0
Adilabad,Bheempoor,2019-07-16,0.0,42.1,86.1
Adilabad,Bheempoor,2019-07-17,0.0,44.7,78.0
Adilabad,Bheempoor,2019-07-18,0.0,41.9,72.9
Adilabad,Bheempoor,2019-07-19,0.0,39.1,90.1
Adilabad,Bheempoor,2019-07-20,0.0,51.4,86.2
Adilabad,Bheempoor,2019-07-21,11.0,63.6,98.0
Adilabad,Bheempoor,2019-07-22,0.0,56.9,92.6
Adilabad,Bheempoor,2019-07-23,0.0,54.3,90.7
Adilabad,Bheempoor,2019-07-24,0.0,54.3,80.7
Adilabad,Bheempoor,2019-07-25,0.0,51.8,79.2
Adilabad,Bheempoor,2019-07-26,6.2,58.2,96.5
Adilabad,Bheempoor,2019-07-27,7.4,85.8,97.8
Adilabad,Bheempoor,2019-07-28,20.0,81.7,98.1
Adilabad,Bheempoor,2019-07-29,11.4,84.4,97.9
Adilabad,Bheempoor,2019-07-30,92.4,96.6,99.2
Adilabad,Bheempoor,2019-07-31,33.2,93.2,98.6
Adilabad,Bheempoor,2019-08-01,5.4,79.3,98.9
Adilabad,Bheempoor,2019-08-02,0.5,83.2,96.4
Adilabad,Bheempoor,2019-08-03,9.3,81.0,95.4
Adilabad,Bheempoor,2019-08-04,7.8,82.8,98.3
Adilabad,Bheempoor,2019-08-05,0.0,73.3,83.3
Adilabad,Bheempoor,2019-08-06,0.0,70.8,89.6
Adilabad,Bheempoor,2019-08-07,2.3,73.6,94.0
Adilabad,Bheempoor,2019-08-08,11.0,86.5,95.0
Adilabad,Bheempoor,2019-08-09,27.3,83.7,96.7
Adilabad,Bheempoor,2019-08-10,0.0,68.9,87.4
Adilabad,Bheempoor,2019-08-11,0.0,62.1,94.9
Adilabad,Bheempoor,2019-08-12,0.0,62.6,94.6
Adilabad,Bheempoor,2019-08-13,14.0,63.0,96.5
Adilabad,Bheempoor,2019-08-14,9.0,80.1,97.6
Adilabad,Bheempoor,2019-08-15,0.0,69.2,96.1
Adilabad,Bheempoor,2019-08-16,0.0,60.8,94.5
Adilabad,Bheempoor,2019-08-17,0.0,57.8,96.4
Adilabad,Bheempoor,2019-08-18,0.0,57.9,95.3
Adilabad,Bheempoor,2019-08-19,0.0,59.4,91.8
Adilabad,Bheempoor,2019-08-20,0.0,65.4,91.6
Adilabad,Bheempoor,2019-08-21,0.5,64.7,94.6
Adilabad,Bheempoor,2019-08-22,0.0,68.9,88.8
Adilabad,Bheempoor,2019-08-23,2.0,70.6,96.7
Adilabad,Bheempoor,2019-08-24,0.0,78.9,95.6
Adilabad,Bheempoor,2019-08-25,4.0,70.0,93.6
Adilabad,Bheempoor,2019-08-26,0.0,79.3,94.3
Adilabad,Bheempoor,2019-08-27,1.8,74.1,96.1
Adilabad,Bheempoor,2019-08-28,6.3,73.0,97.4
Adilabad,Bheempoor,2019-08-29,0.0,53.7,97.0
Adilabad,Bheempoor,2019-08-30,0.0,63.8,95.0
Adilabad,Bheempoor,2019-08-31,0.0,63.1,93.8
Adilabad,Bheempoor,2019-09-01,25.0,65.0,96.9
Adilabad,Bheempoor,2019-09-02,0.0,72.7,93.4
Adilabad,Bheempoor,2019-09-03,0.0,78.3,93.5
Adilabad,Bheempoor,2019-09-04,4.8,78.7,96.6
Adilabad,Bheempoor,2019-09-05,12.3,89.9,97.2
Adilabad,Bheempoor,2019-09-06,2.3,71.0,97.0
Adilabad,Bheempoor,2019-09-07,4.0,84.8,95.9
Adilabad,Bheempoor,2019-09-08,0.0,79.1,94.2
Adilabad,Bheempoor,2019-09-09,6.5,74.2,97.5
Adilabad,Jainad,2019-07-01,3.8,79.4,96.4
Adilabad,Jainad,2019-07-02,6.5,73.8,92.5
Adilabad,Jainad,2019-07-03,30.9,69.8,97.4
Adilabad,Jainad,2019-07-04,12.0,70.5,98.0
Adilabad,Jainad,2019-07-05,0.5,57.5,93.3
Adilabad,Jainad,2019-07-06,14.7,67.4,96.6
Adilabad,Jainad,2019-07-07,6.0,64.1,93.7
Adilabad,Jainad,2019-07-08,0.2,66.4,89.8
Adilabad,Jainad,2019-07-09,15.5,65.0,97.7
Adilabad,Jainad,2019-07-10,8.0,64.7,98.5
Adilabad,Jainad,2019-07-11,25.4,55.6,94.1
Adilabad,Jainad,2019-07-12,2.5,77.3,95.5
Adilabad,Jainad,2019-07-13,9.7,62.8,88.3
Adilabad,Jainad,2019-07-14,1.3,50.5,85.5
Adilabad,Jainad,2019-07-15,7.5,47.4,92.1
Adilabad,Jainad,2019-07-16,0.0,48.3,84.5
Adilabad,Jainad,2019-07-17,0.0,42.7,80.4
Adilabad,Jainad,2019-07-18,0.0,42.0,75.8
Adilabad,Jainad,2019-07-19,0.0,37.8,91.8
Adilabad,Jainad,2019-07-20,0.0,47.5,84.7
Adilabad,Jainad,2019-07-21,5.2,60.8,97.0
Adilabad,Jainad,2019-07-22,0.0,55.7,88.0
Adilabad,Jainad,2019-07-23,0.0,51.8,86.5
Adilabad,Jainad,2019-07-24,0.0,51.6,81.0
Adilabad,Jainad,2019-07-25,0.0,51.6,77.5
